,name,company,year,Price,kms_driven,fuel_type
364,Suzuki Swift Dzire Tour VXi,Maruti,2011,230000,65,Petrol
365,Indigo CS eLS BS IV,Tata,2015,123000,100000,Diesel
366,Xcent Base 1.1 CRDi,Hyundai,2016,300000,140000,Diesel
367,Accent Executive Edition,Hyundai,2009,165000,48000,Petrol
368,Suzuki Baleno Delta 1.2,Maruti,2016,498000,22000,Petrol
369,Zest XE 75 PS Diesel,Tata,2018,480000,103553,Diesel
370,Suzuki Dzire LDI,Maruti,2017,488000,80000,Diesel
371,Sumo Gold LX BS IV,Tata,2014,250000,99000,Diesel
372,Corolla Altis GL Petrol,Toyota,2010,220000,58000,Petrol
373,Suzuki Eeco 7 STR,Maruti,2013,290000,70000,LPG
374,Fortuner 3.0 4x2 MT,Toyota,2015,1525000,120000,Diesel
375,XUV500 W6,Mahindra,2013,548900,49800,Diesel
376,Tigor Revotron XZ,Tata,2019,650000,100,Diesel
377,Suzuki 800,Maruti,2001,55000,81876,Petrol
378,Suzuki Ertiga Vxi,Maruti,2015,550000,75000,Petrol
379,Mobilio S i DTEC,Honda,2014,399000,44000,Diesel
380,Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
381,Suzuki Vitara Brezza,Maruti,2017,725000,36000,Diesel
382,Verna 1.6 CRDI E,Hyundai,2016,195000,56000,Diesel
383,Suzuki Swift VXI BSIII,Maruti,2007,130000,62000,Petrol
384,Suzuki Omni Select Variant,Maruti,2014,190000,6020,Petrol
385,Amaze,Honda,2013,250000,55700,Diesel
386,Indica,Tata,2005,80000,42000,Petrol
387,Santro Xing,Hyundai,2003,120000,50000,Petrol
388,Suzuki Zen Estilo,Maruti,2010,149000,35000,Petrol
389,Suzuki Wagon R LXI BS IV,Maruti,2014,250000,18500,Petrol
390,Suzuki Wagon R,Maruti,2007,120000,7000,Petrol
391,Brio VX AT,Honda,2017,450000,11000,Petrol
392,Suzuki Zen LXi BSII,Maruti,2003,99999,53000,Petrol
393,Suzuki Zen Estilo LXI Green CNG,Maruti,2008,135000,23000,Petrol
394,Suzuki Wagon R Select Variant,Maruti,2016,225000,35500,Diesel
395,Suzuki Alto LXi BS III,Maruti,2010,99000,22134,Petrol
396,Kwid RXT,Renault,2019,370000,1000,Petrol
397,Nano Lx BSIV,Tata,2010,52000,9000,Petrol
398,XE XE Portfolio,Jaguar,2016,2800000,8500,Petrol
399,Eon Magna Plus,Hyundai,2014,190000,35000,Petrol
400,City 1.5 S MT,Honda,2014,499000,22000,Petrol
401,Motors Ambassador,Hindustan,2002,90000,25000,Diesel
402,Suzuki Ritz GENUS VXI,Maruti,2010,149000,40000,Petrol
403,Grand i10 Magna AT 1.2 Kappa VTVT,Hyundai,2017,400000,20000,Petrol
404,Eon D Lite Plus,Hyundai,2016,120000,87000,Petrol
405,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2015,250000,55000,Petrol
406,Suzuki Wagon R VXI BS IV,Maruti,2017,375000,23000,Petrol
407,Amaze 1.2 VX i VTEC,Honda,2014,381000,6000,Petrol
408,Suzuki Estilo VXi ABS BS IV,Maruti,2013,180000,65000,Petrol
409,Suzuki Vitara Brezza LDi O,Maruti,2016,580000,25000,Diesel
410,Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,278000,39000,Petrol
411,Creta 1.6 SX Plus Petrol AT,Hyundai,2016,1000000,8000,Petrol
412,Scorpio Vlx BSIV,Mahindra,2013,690000,75000,Diesel
413,Suzuki Ertiga VDi,Maruti,2012,480000,51000,Diesel
414,Lancer 1.8 LXi,Mitsubishi,2006,85000,50000,Petrol
415,Suzuki  800 AC,Maruti,2001,40000,75000,Petrol
416,Suzuki Alto 800 LXI CNG O,Maruti,2015,90000,55800,Petrol
417,Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2015,340000,53000,Petrol
418,Eon D Lite Plus,Hyundai,2018,260000,25000,Petrol
419,Fiesta SXi 1.6 ABS,Ford,2009,250000,56400,Petrol
420,Suzuki Ritz VDi,Maruti,2010,180000,72160,Diesel
421,Verna Fluidic New,Hyundai,2012,350000,10000,Diesel
422,Suzuki Wagon R LXi BS III,Maruti,2006,90001,48000,Petrol
423,Suzuki Estilo LX BS IV,Maruti,2007,115000,36000,Petrol
424,A6 2.0 TDI Premium,Audi,2012,1599000,11500,Diesel
425,Suzuki Wagon R LXi BS III,Maruti,2003,130000,133000,Petrol
426,Suzuki Wagon R,Maruti,2009,159000,27000,Petrol
427,Suzuki Wagon R,Maruti,2009,160000,35000,Petrol
428,Suzuki Alto,Maruti,2010,110000,55000,Petrol
429,Suzuki Baleno Sigma 1.2,Maruti,2016,425000,40000,Petrol
430,Verna 1.6 SX VTVT AT,Hyundai,2019,900000,2000,Petrol
431,Suzuki Swift GLAM,Maruti,2009,150000,45000,Petrol
432,Getz Prime 1.3 GVS,Hyundai,2009,110000,20000,Petrol
433,Santro,Hyundai,2000,51999,88000,Petrol
434,Getz Prime 1.3 GLX,Hyundai,2009,115000,20000,Petrol
435,Beat PS Diesel,Chevrolet,2012,215000,65422,Diesel
436,EcoSport Trend 1.5 Ti VCT,Ford,2017,580000,10000,Petrol
437,Suzuki Dzire ZXI,Maruti,2013,380000,35000,Petrol
438,Fluidic Verna 1.6 CRDi SX,Hyundai,2013,350000,117000,Diesel
439,Indica V2 DLG,Tata,2005,35000,150000,Diesel
440,X1 xDrive20d xLine,BMW,2011,1150000,72000,Diesel
441,i20 Asta 1.2,Hyundai,2010,300000,10750,Petrol
442,City 1.5 V AT,Honda,2009,269000,55000,Petrol
443,Nano,Tata,2013,60000,6800,Petrol
444,Cruze LTZ AT,Chevrolet,2014,400000,41000,Diesel
445,Verna Fluidic New,Hyundai,2015,430000,73000,Diesel
446,Suzuki Swift Dzire VDi,Maruti,2011,140000,65000,Diesel
447,XUV500 W6,Mahindra,2014,8500003,45000,Diesel
448,XUV500 W10,Mahindra,2018,1299000,40000,Diesel
449,Suzuki Alto K10 LXi CNG,Maruti,2014,199000,37000,Petrol
450,Accent GLE,Hyundai,2006,90000,55000,Petrol
451,Motors One SUV,Force,2013,550000,140000,Diesel
452,Suzuki Alto,Maruti,2019,265000,9800,Petrol
453,Spark 1.0 LT,Chevrolet,2011,100000,27000,Petrol
454,i10,Hyundai,2009,215000,27000,Petrol
455,Etios Liva GD,Toyota,2012,380000,20000,Diesel
456,Duster 85PS Diesel RxL Optional with Nav,Renault,2013,401919,57923,Diesel
457,Enjoy,Chevrolet,2014,490000,30201,Diesel
458,Suzuki Alto 800 Lxi,Maruti,2017,280000,6200,Petrol
459,5 Series 530i,BMW,2009,650000,37518,Petrol
460,Etios Liva G,Toyota,2014,160000,24652,Petrol
461,Jeep MM 550 XDB,Mahindra,2004,424000,383,Diesel
462,Beat LS Diesel,Chevrolet,2016,225000,95000,Diesel
463,Cruze LTZ,Chevrolet,2011,350000,35000,Diesel
464,Wrangler Unlimited 4x4 Diesel,Jeep,2015,950000,3528,Diesel
465,Suzuki Ertiga VDi,Maruti,2013,485000,52500,Diesel
466,Verna VGT CRDi SX ABS,Hyundai,2010,205000,47900,Diesel
467,Suzuki Omni,Maruti,2012,160000,14000,Petrol
468,Suzuki Celerio VDi,Maruti,2018,310000,37000,Petrol
469,Zest Quadrajet 1.3,Tata,2017,180000,90000,Diesel
470,XUV500 W6,Mahindra,2013,549900,52800,Diesel
471,Indigo CS eLX BS IV,Tata,2016,150000,104000,Diesel
472,i10 Era,Hyundai,2011,175000,30000,Petrol
473,Indigo eCS LX TDI BS III,Tata,2014,95000,195000,Diesel
474,Indigo LX TDI BS III,Tata,2016,230000,104000,Diesel
475,Indigo eCS LX CR4 BS IV,Tata,2016,230000,104000,Diesel
476,Indigo Marina LS,Tata,2004,180000,70000,Diesel
477,Xcent SX 1.2,Hyundai,2015,400000,43000,Diesel
478,Eon Magna Plus,Hyundai,2013,185000,23000,Petrol
479,Duster 85 PS RxL Diesel,Renault,2015,385000,51000,Diesel
480,Suzuki Alto K10 LXi CNG,Maruti,2009,90000,62000,Petrol
481,Nano LX Special Edition,Tata,2010,32000,48008,Petrol
482,Duster 110 PS RxZ Diesel,Renault,2013,435000,39000,Diesel
483,Suzuki Wagon R AX BSIV,Maruti,2010,225000,40000,Petrol
484,Suzuki Swift,Maruti,2006,189700,48247,Petrol
485,Suzuki Ertiga,Maruti,2012,389700,39000,Diesel
486,Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2014,365000,23000,Petrol
487,Suzuki Alto K10 New,Maruti,2017,360000,9400,Petrol
488,i20 Magna,Hyundai,2010,210000,50000,Petrol
489,i10 Magna 1.2,Hyundai,2009,170000,75000,Petrol
490,Zest XE 75 PS Diesel,Tata,2017,380000,70000,Diesel
491,Xylo E8,Mahindra,2009,295000,64000,Diesel
492,Corolla Altis GL Petrol,Toyota,2010,185000,55000,Petrol
493,Manza Aqua Quadrajet,Tata,2014,160000,200000,Diesel
494,Kwid 1.0,Renault,2018,290000,2137,Petrol
495,Venture EX 8 STR,Tata,2013,100000,30000,Diesel
496,Suzuki Swift Dzire Tour LXi,Maruti,2014,315000,44000,Petrol
497,Octavia Classic 1.9 TDI MT,Skoda,2006,114990,65000,Diesel
498,Suzuki Omni LPG BS IV,Maruti,2012,120000,160000,LPG
499,Beat Diesel,Chevrolet,2011,125000,56000,Diesel
500,Sumo Gold EX BS IV,Tata,2012,210000,75000,Diesel
501,Verna 1.6 CRDI SX,Hyundai,2018,855000,42000,Diesel
502,Scorpio 2.6 CRDe,Mahindra,2007,260000,56000,Diesel
503,Suzuki Zen LXi BS III,Maruti,2002,95000,10544,Petrol
504,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,255000,64000,Petrol
505,Scorpio SLX 2.6 Turbo 8 Str,Mahindra,2008,300000,70000,Diesel
506,Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,340000,25000,Petrol
507,Elite i20 Sportz 1.2,Hyundai,2017,550000,15000,Petrol
508,Ikon 1.6 Nxt,Ford,2003,60000,50000,Petrol
509,Innova 2.5 V 7 STR,Toyota,2011,750000,147000,Diesel
510,Sunny XL,Nissan,2011,230000,52000,Petrol
511,Beat LT Diesel,Chevrolet,2012,130000,90001,Diesel
512,Suzuki Alto 800 Lxi,Maruti,2017,270000,21000,Petrol
513,Suzuki Swift VDi BS IV,Maruti,2012,280000,48006,Diesel
514,Suzuki Swift,Maruti,2012,280000,48006,Diesel
515,Innova 2.0 G4,Toyota,2012,600000,80000,Diesel
516,Suzuki Swift VDi ABS,Maruti,2010,190000,74000,Diesel
517,Elite i20 Asta 1.2,Hyundai,2015,500000,22000,Petrol
518,XUV500 W10,Mahindra,2016,1065000,41000,Diesel
519,Polo Trendline 1.5L D,Volkswagen,2015,350000,25000,Diesel
520,Etios Liva Diesel,Toyota,2012,350000,85000,Diesel
521,TUV300 T4 Plus,Mahindra,2016,540000,29500,Diesel
522,Elite i20 Asta 1.2,Hyundai,2015,470000,30000,Petrol
523,Santro Xing GLS,Hyundai,2014,179000,57000,Petrol
524,Suzuki Zen LXi BS III,Maruti,2003,48000,60000,Petrol
525,Suzuki Ciaz ZXi Plus RS,Maruti,2016,650000,50000,Petrol
526,Eon Era Plus,Hyundai,2013,190000,39700,Petrol
527,Elantra 1.8 S,Hyundai,2012,500000,65000,Petrol
528,Suzuki Swift VDi,Maruti,2010,270000,67000,Diesel
529,Suzuki Zen Estilo LXI Green CNG,Maruti,2008,125000,46000,Petrol
530,Eon Era Plus,Hyundai,2012,188000,38000,Petrol
531,Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2016,380000,27000,Petrol
532,Verna Fluidic New,Hyundai,2011,365000,43000,Diesel
533,EcoSport Trend 1.5L Ti VCT,Ford,2014,465000,47000,Petrol
534,i20 Magna,Hyundai,2011,240000,42000,Petrol
535,Beat Diesel,Chevrolet,2016,179999,19336,Diesel
536,Indica eV2 LS,Tata,2015,140000,60105,Diesel
537,XF 2.2 Diesel Luxury,Jaguar,2013,2190000,29000,Diesel
538,Q5 2.0 TDI quattro Premium Plus,Audi,2014,2390000,34000,Diesel
539,3 Series 320d Sedan,BMW,2011,1075000,35000,Diesel
540,Suzuki Swift ZXi 1.2 BS IV,Maruti,2015,475000,22000,Petrol
541,X1 sDrive20d,BMW,2012,1025000,41000,Diesel
542,Suzuki S Cross Sigma 1.3,Maruti,2016,615000,21000,Diesel
543,Suzuki Ertiga LDi,Maruti,2013,475000,48000,Diesel
544,Suzuki Alto K10 VXi AMT,Maruti,2016,270000,38000,Petrol
545,City SV,Honda,2014,475000,34000,Diesel
546,Vento Comfortline Petrol,Volkswagen,2011,240000,45933,Petrol
547,City 1.5 EXi New,Honda,2005,120000,68000,Petrol
548,A4 2.0 TDI 177bhp Premium,Audi,2016,1900000,44000,Diesel
549,KUV100,Mahindra,2017,360000,35000,Diesel
550,Zest XE 75 PS Diesel,Tata,2018,450000,102563,Diesel
551,XUV500 W8,Mahindra,2015,900000,28600,Diesel
552,Suzuki Swift Dzire Tour VDi,Maruti,2017,650000,41800,Diesel
553,Sumo Gold LX BS IV,Tata,2014,275000,116000,Diesel
554,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2009,210000,59000,Petrol
555,Scorpio 2.6 SLX,Mahindra,2004,175000,58000,Diesel
556,Suzuki Omni 8 STR BS III,Maruti,2009,85000,45000,Petrol
557,Pajero Sport Limited Edition,Mitsubishi,2015,1490000,42590,Diesel
558,Duster,Renault,2014,800000,7400,Diesel
559,Jetta Comfortline 1.9 TDI AT,Volkswagen,2009,450000,54500,Diesel
560,Suzuki Ertiga Vxi,Maruti,2012,1000000,200000,Diesel
561,A4 2.0 TDI 177bhp Premium,Audi,2013,1510000,27000,Diesel
562,S80 Summum D4,Volvo,2015,1850000,42000,Diesel
563,Corolla Altis VL AT Petrol,Toyota,2014,790000,29000,Petrol
564,Pajero Sport 2.5 AT,Mitsubishi,2015,1725000,37000,Diesel
565,Beat LT Petrol,Chevrolet,2012,135000,36000,Petrol
566,X1,BMW,2011,1000000,34000,Diesel
567,Redi GO S,Datsun,2018,299999,7000,Petrol
568,Benz C Class C 220 CDI Avantgarde,Mercedes,2009,1225000,76000,Diesel
569,Scorpio SLX,Mahindra,2004,175000,60000,Diesel
570,Vento Comfortline Diesel,Volkswagen,2011,200000,95000,Diesel
571,Indigo CS GLS,Tata,2017,270000,50000,Diesel
572,Figo Petrol Titanium,Ford,2019,525000,0,Petrol
573,City ZX GXi,Honda,2006,180000,50000,Petrol
574,Suzuki Wagon R Duo Lxi,Maruti,2008,140000,68000,Petrol
575,EcoSport Trend 1.5L TDCi,Ford,2014,400000,16000,Petrol
576,Suzuki Swift Dzire VDi,Maruti,2016,499000,51000,Diesel
577,Suzuki Omni 8 STR BS III,Maruti,2009,85000,56000,Petrol
578,Suzuki Zen LX BSII,Maruti,2004,70000,100000,Petrol
579,Duster RxL Petrol,Renault,2015,550000,36000,Petrol
580,Suzuki Swift VXi 1.2 BS IV,Maruti,2014,370000,11523,Petrol
581,Suzuki Baleno Zeta 1.2,Maruti,2018,690000,1000,Petrol
582,WR V S MT Petrol,Honda,2009,250000,60000,Petrol
583,Indigo CS eLX BS IV,Tata,2016,110000,85000,Diesel
584,Duster 110 PS RxL Diesel,Renault,2013,490000,38600,Diesel
585,Scorpio LX BS III,Mahindra,2009,320000,95500,Diesel
586,Suzuki Zen LXi BS III,Maruti,2004,68000,56000,Petrol
587,Suzuki Wagon R LXi BS III,Maruti,2014,130000,37458,Petrol
588,Suzuki SX4 Celebration Diesel,Maruti,2016,970000,85960,Diesel
589,A3 Cabriolet 40 TFSI,Audi,2015,3100000,12516,Petrol
590,Eon D Lite Plus,Hyundai,2018,280000,35000,Petrol
591,Suzuki Zen Estilo LXI Green CNG,Maruti,2009,125000,0,Petrol
592,Scorpio SLX,Mahindra,2008,285000,80000,Diesel
593,Santro AE GLS Audio,Hyundai,2011,165000,45000,Petrol
594,Suzuki Swift Dzire Tour VDi,Maruti,2009,250000,51000,Diesel
595,Xylo D2 BS IV,Mahindra,2011,390000,48000,Diesel
596,Santro,Hyundai,2003,60000,51000,Petrol
597,Beat LT Diesel,Chevrolet,2015,215000,90000,Diesel
598,Suzuki Swift Dzire VDi,Maruti,2015,475000,43000,Diesel
599,XUV500 W8,Mahindra,2015,899000,53000,Diesel
600,Fortuner 3.0 4x4 MT,Toyota,2013,1499000,97000,Diesel
601,Suzuki Alto K10 VXi,Maruti,2013,240000,20000,Petrol
602,Getz GLE,Hyundai,2007,99000,55000,Petrol
603,Suzuki Swift Dzire Tour LDi,Maruti,2014,260000,120000,Diesel
604,Creta 1.6 SX,Hyundai,2019,1200000,0,Petrol
605,Santro Xing XL AT eRLX Euro III,Hyundai,2007,115000,46000,Petrol
606,Santro Xing XL eRLX Euro III,Hyundai,2009,88000,43200,Petrol
607,Xylo D2 BS IV,Mahindra,2011,390000,56000,Diesel
608,Santro Xing XL eRLX Euro III,Hyundai,2007,135000,42000,Petrol
609,Indica V2 DLS BS III,Tata,2009,90000,30600,Diesel
610,i10 Sportz 1.2,Hyundai,2011,220000,38000,Petrol
611,Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2017,424999,2550,Petrol
612,Santro Xing XL AT eRLX Euro III,Hyundai,2007,135000,47000,Petrol
613,City 1.5 E MT,Honda,2005,95000,41000,Petrol
614,Micra XL,Nissan,2017,430000,62500,Diesel
615,City 1.5 S Inspire,Honda,2005,115000,68000,Petrol
616,Suzuki Alto 800 Lxi,Maruti,2015,215000,50000,Petrol
617,Suzuki Wagon R LX BS III,Maruti,2004,53000,69000,Petrol
618,Suzuki Ertiga VDi,Maruti,2012,500000,48000,Diesel
619,Indica eV2 eXeta eGLX,Tata,2012,85000,55000,Diesel
620,Suzuki Omni E 8 STR BS IV,Maruti,2013,165000,25000,Petrol
621,Eon Era Plus,Hyundai,2014,200000,28400,Petrol
622,Eon,Hyundai,2014,200000,28000,Petrol
623,Suzuki Swift LDi,Maruti,2015,425000,42000,Diesel
624,Verna 1.6 CRDI SX Plus AT,Hyundai,2012,600000,29000,Diesel
625,Tavera LS B3 10 Seats BSII,Chevrolet,2005,130000,68485,Diesel
626,Tiago Revotron XM,Tata,2018,430000,3500,Petrol
627,Tiago Revotorq XZ,Tata,2019,568500,0,Petrol
628,Suzuki Zen LXi BS III,Maruti,2006,71000,32000,Petrol
629,KUV100 K8 D 6 STR,Mahindra,2018,560000,8000,Diesel
630,EcoSport Titanium 1.5 TDCi,Ford,2014,590000,34000,Diesel
631,Motors Ambassador Classic Mark 4 – Befo,Hindustan,1995,750000,37000,Petrol
632,Fusion 1.4 TDCi Diesel,Ford,2007,125000,85455,Diesel
633,Santro Xing XL AT eRLX Euro III,Hyundai,2007,135000,46000,Petrol
634,Santro,Hyundai,2002,60000,47000,Petrol
635,Linea Emotion 1.4 L T Jet Petrol,Fiat,2009,120000,64000,Petrol
636,Ikon 1.3 Flair Josh 100,Ford,2008,95000,46000,Petrol
637,Suzuki Omni E 8 STR BS IV,Maruti,2017,240000,8000,Petrol
638,Indica V2 LS,Tata,2012,115000,64000,Diesel
639,Scorpio S4,Mahindra,2015,795000,63000,Diesel
640,Santro Xing XL eRLX Euro III,Hyundai,2007,55000,65000,Petrol
641,Xylo D2,Mahindra,2009,300000,62000,Diesel
642,Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2014,320000,41000,Petrol
643,Suzuki Alto 800 Lxi,Maruti,2015,265000,14000,Petrol
644,Corolla,Toyota,2006,160000,40000,Petrol
645,Eon Magna,Hyundai,2017,300000,1600,Petrol
646,Sumo Grande MKII GX,Tata,2010,130000,90000,Diesel
647,Suzuki Swift VDi,Maruti,2011,250000,58000,Diesel
648,Polo Highline1.2L P,Volkswagen,2013,380000,27000,Petrol
649,Suzuki Alto 800 Lx,Maruti,2003,42000,60000,Petrol
650,Tiago Revotron XZ,Tata,2017,400000,31000,Petrol
651,Suzuki Swift LDi,Maruti,2009,120000,90000,Diesel
652,Suzuki Swift VDi,Maruti,2009,120000,90000,Diesel
653,Indigo eCS,Tata,2016,130000,150000,Diesel
654,Beat LS Diesel,Chevrolet,2014,189000,31000,Diesel
655,Xylo E8 BS IV,Mahindra,2011,365000,43000,Diesel
656,Eon D Lite Plus,Hyundai,2013,170000,20000,Petrol
657,Sumo Gold FX BSIII,Tata,2013,215000,100000,Petrol
658,Nano,Tata,2013,60000,7000,Petrol
659,Elite i20,Hyundai,2017,599999,31000,Petrol
660,i10 Magna 1.2 Kappa2,Hyundai,2009,400000,33000,Petrol
661,Creta,Hyundai,2016,900000,60000,Diesel
662,Polo,Volkswagen,2013,299999,48000,Diesel
663,Suzuki Dzire,Maruti,2014,374999,33000,Petrol
664,Bolt XM Petrol,Tata,2015,600000,15000,Petrol
665,Suzuki Alto 800 Lx,Maruti,2005,70000,47000,Petrol
666,Suzuki Alto,Maruti,2005,100000,40000,Petrol
667,Suzuki Ritz,Maruti,2010,150000,38000,Diesel
668,Suzuki Alto 800 Lxi,Maruti,2017,225000,12500,Petrol
669,Suzuki Dzire,Maruti,2009,210000,42000,Petrol
670,i20 Asta,Hyundai,2014,425000,31000,Petrol
671,Suzuki Swift Select Variant,Maruti,2008,162000,60000,Diesel
672,Indica V2 DLX BS III,Tata,2005,60000,80000,Diesel
673,Scorpio VLX 2.2 mHawk Airbag BSIV,Mahindra,2014,650000,77000,Diesel
674,Innova 2.5 E 8 STR,Toyota,2012,750000,75000,Diesel
675,Xylo E8,Mahindra,2010,375000,40000,Diesel
676,i20 Magna 1.2,Hyundai,2011,230000,47000,Petrol
677,Suzuki Omni,Maruti,2000,35999,60000,Petrol
678,KUV100,Mahindra,2016,380000,26500,Petrol
679,KUV100 K8 6 STR,Mahindra,2019,560000,2875,Petrol
680,Go Plus,Datsun,2016,285000,13900,Petrol
681,Endeavor 4x4 Thunder Plus,Ford,2019,2900000,9000,Diesel
682,Indica V2,Tata,2005,39999,80000,Diesel
683,Santro Xing GL,Hyundai,2006,85000,60000,Petrol
684,Suzuki Wagon R 1.0 VXi,Maruti,2016,395000,20000,Petrol
685,Suzuki Swift Select Variant,Maruti,2008,175000,58000,Diesel
686,Suzuki Alto 800 Lx,Maruti,2019,400000,1500,Petrol
687,Innova 2.5 Z Diesel 7 Seater,Toyota,2011,750000,75000,Diesel
688,Suzuki Alto 800,Maruti,2016,250000,2450,Petrol
689,Suzuki Alto AX,Maruti,2019,425000,1625,Petrol
690,Polo Highline1.2L P,Volkswagen,2017,525000,45000,Petrol
691,Logan,Mahindra,2009,130000,65000,Diesel
692,Suzuki 800 Std BS III,Maruti,2000,30000,33400,Petrol
693,Scorpio,Mahindra,2011,475000,60123,Diesel
694,Sail 1.2 LS,Chevrolet,2013,300000,28000,Petrol
695,Santro AE GLS Audio,Hyundai,2003,60000,70000,Petrol
696,Suzuki Wagon R VXi Minor,Maruti,2006,100000,7000,Petrol
697,Eon,Hyundai,2018,260000,25000,Petrol
698,Manza,Tata,2015,100000,100000,Diesel
699,Etios G,Toyota,2013,265000,42000,Petrol
700,Qualis,Toyota,2003,180000,100000,Diesel
701,Santro Xing,Hyundai,2004,45000,137495,Petrol
702,Indica eV2 LS,Tata,2016,50500,91200,Diesel
703,City 1.5 S MT,Honda,2009,270000,55000,Petrol
704,Zest XE 75 PS Diesel,Tata,2017,290000,120000,Diesel
705,Quanto C4,Mahindra,2013,325000,63000,Diesel
706,Indigo eCS LX CR4 BS IV,Tata,2016,160000,104000,Diesel
707,Suzuki Swift Dzire,Maruti,2016,350000,146000,Diesel
708,Elite i20,Hyundai,2011,290000,40000,Petrol
709,i20 Select Variant,Hyundai,2011,290000,40000,Petrol
710,Tavera Neo,Chevrolet,2007,465000,100800,Diesel
711,Suzuki Dzire,Maruti,2016,325000,150000,Diesel
712,Elite i20,Hyundai,2018,510000,2100,Petrol
713,City VX Petrol,Honda,2016,860000,95000,Petrol
714,Suzuki Dzire,Maruti,2016,450000,2500,Diesel
715,Getz,Hyundai,2006,125000,80000,Petrol
716,Benz C Class 200 K MT,Mercedes,2006,500001,15000,Petrol
717,Suzuki Alto LXi BS III,Maruti,2005,95000,65000,Petrol
718,Fabia,Skoda,2009,110000,45000,Petrol
719,Suzuki Ritz VXI ABS,Maruti,2011,270000,50000,Petrol
720,Indica V2 DLE BS III,Tata,2009,110000,30000,Diesel
721,Corolla Altis,Toyota,2009,300000,132000,Petrol
722,Zest XM Diesel,Tata,2018,260000,27000,Diesel
723,Quanto C8,Mahindra,2013,390000,40000,Diesel
